year,genres,hours_game
2012,Action,18093934.84
2013,Action,6925385.39
2011,Action,5528303.2299999995
2015,Action,4193599.25
2010,Action,3001469.08
2014,Action,2782544.44
2009,Action,2729990.1100000003
2004,Action,2161570.8899999997
2017,Action,2105577.5
2016,Action,1848306.45
2008,Action,558996.1799999999
2000,Action,305965.99000000005
2007,Action,292174.01
2005,Action,204418.24
2003,Action,198224.49000000002
2006,Action,179552.56
1998,Action,48319.96
1999,Action,45253.89
2001,Action,22106.12
2002,Action,12202.63
1997,Action,5997.68
1995,Action,3603.14
1994,Action,2003.27
1996,Action,1130.96
1993,Action,410.56
1990,Action,305.63000000000005
1988,Action,266.68
1983,Action,57.92
1991,Action,41.73
2018,Action,37.06
1992,Action,32.07
1989,Action,10.110000000000001
1984,Action,6.4
2011,Adventure,3695133.21
2015,Adventure,3009640.1
2013,Adventure,2516867.89
2017,Adventure,1547213.3499999999
2012,Adventure,1223443.99
2016,Adventure,1163187.78
2014,Adventure,1121464.27
2010,Adventure,415020.55000000005
2009,Adventure,112776.41
2003,Adventure,86491.31
2008,Adventure,54606.310000000005
2007,Adventure,6653.24
1997,Adventure,5406.97
2005,Adventure,3440.72
2006,Adventure,3399.66
2002,Adventure,3074.2
1998,Adventure,2980.61
2000,Adventure,1752.06
1996,Adventure,1736.7
2004,Adventure,1602.5500000000002
2001,Adventure,843.68
1993,Adventure,779.55
1988,Adventure,499.44
1992,Adventure,396.57
1994,Adventure,264.86
1995,Adventure,167.10000000000002
1989,Adventure,155.23
1999,Adventure,128.89999999999998
1987,Adventure,128.57
1990,Adventure,91.56
1983,Adventure,57.92
1991,Adventure,28.729999999999997
1984,Adventure,6.4
2018,Adventure,0.35
2015,Animation &amp; Modeling,22426.42
2013,Animation &amp; Modeling,7240.72
2016,Animation &amp; Modeling,1911.87
2014,Animation &amp; Modeling,1325.47
2012,Animation &amp; Modeling,298.58
2008,Animation &amp; Modeling,34.36
2014,Audio Production,7591.02
2013,Audio Production,1219.38
2007,Audio Production,184.8
2015,Audio Production,84.35000000000001
2016,Audio Production,7.639999999999999
2015,Casual,1361811.34
2017,Casual,848710.21
2016,Casual,781887.19
2014,Casual,371527.52999999997
2012,Casual,339372.78
2013,Casual,215211.6
2011,Casual,99699.01
2010,Casual,79597.54
2009,Casual,15606.08
2007,Casual,12158.939999999999
1999,Casual,10548.980000000001
2008,Casual,9491.460000000001
2006,Casual,3938.01
2002,Casual,1026.8999999999999
2000,Casual,885.3199999999999
1994,Casual,766.28
2005,Casual,678.52
1997,Casual,542.0699999999999
1996,Casual,509.87000000000006
2004,Casual,403.65
1993,Casual,367.31999999999994
1998,Casual,216.0
2001,Casual,104.03
1995,Casual,59.260000000000005
1983,Casual,57.92
2003,Casual,50.83
1992,Casual,41.51
1991,Casual,22.58
1984,Casual,6.4
2012,Design &amp; Illustration,32172.579999999998
2015,Design &amp; Illustration,25567.53
2013,Design &amp; Illustration,4880.18
2014,Design &amp; Illustration,3210.97
2016,Design &amp; Illustration,1876.74
2007,Design &amp; Illustration,184.8
2008,Design &amp; Illustration,34.36
2017,Design &amp; Illustration,0.36
2013,Early Access,1981714.67
2015,Early Access,225596.18
2014,Early Access,187301.24
2016,Early Access,162502.22
2012,Early Access,53758.76
2017,Early Access,569.91
2018,Early Access,102.12
2013,Education,5676.360000000001
2015,Education,601.4
2014,Education,375.73999999999995
2017,Education,156.37
2016,Education,38.730000000000004
2008,Education,34.36
2010,Education,0.15
2013,Free to Play,2436900.97
2015,Free to Play,1971237.14
2012,Free to Play,1921139.02
2017,Free to Play,1437260.93
2011,Free to Play,719458.6599999999
2014,Free to Play,621792.91
2016,Free to Play,609315.76
2010,Free to Play,143251.09
2003,Free to Play,99918.40000000001
2006,Free to Play,42692.06
2009,Free to Play,39032.909999999996
1999,Free to Play,10450.29
2008,Free to Play,3592.11
2007,Free to Play,3541.91
2005,Free to Play,1112.25
2001,Free to Play,82.77
1996,Free to Play,2.12
2006,Indie,7435258.0
2011,Indie,3756228.85
2013,Indie,2955802.75
2015,Indie,2892910.9899999998
2017,Indie,2093241.16
2012,Indie,2052902.27
2014,Indie,1536246.04
2016,Indie,1496925.79
2010,Indie,142221.89
2008,Indie,87594.70999999999
2009,Indie,63460.65
2003,Indie,35456.25
2007,Indie,22336.16
1999,Indie,10450.29
2005,Indie,5605.18
2001,Indie,1474.24
1997,Indie,1071.4299999999998
2004,Indie,719.58
2002,Indie,631.53
1998,Indie,332.65
1988,Indie,232.76
2000,Indie,88.4
1995,Indie,52.84
2018,Indie,38.78
1996,Indie,9.530000000000001
2013,Massively Multiplayer,2222943.07
2012,Massively Multiplayer,1412898.67
2017,Massively Multiplayer,1058422.48
2011,Massively Multiplayer,718841.2899999999
2015,Massively Multiplayer,674874.2999999999
2014,Massively Multiplayer,586079.9
2016,Massively Multiplayer,416670.12
2010,Massively Multiplayer,124075.34
2003,Massively Multiplayer,99918.40000000001
2009,Massively Multiplayer,33700.47
2007,Massively Multiplayer,1962.03
2008,Massively Multiplayer,1734.92
2014,Photo Editing,1027.67
2016,Photo Editing,637.72
2007,Photo Editing,184.8
2012,Photo Editing,44.629999999999995
2015,Photo Editing,11.19
2006,Photo Editing,2.89
2011,RPG,3799327.0999999996
2012,RPG,2724182.14
2015,RPG,2526552.27
2013,RPG,2085054.9
2010,RPG,1524343.1500000001
2014,RPG,1315905.08
2017,RPG,1125588.04
2016,RPG,988212.46
2009,RPG,427176.83999999997
2008,RPG,172109.24
2007,RPG,157723.37
2003,RPG,150514.54
2005,RPG,52431.73
2006,RPG,30641.989999999998
2002,RPG,29720.189999999995
1998,RPG,6303.49
1997,RPG,5993.969999999999
1999,RPG,5519.18
2001,RPG,2003.85
2004,RPG,1201.69
2000,RPG,887.3599999999999
1996,RPG,422.59000000000003
1988,RPG,232.76
2018,RPG,63.690000000000005
1992,RPG,36.05
1994,RPG,34.86
2015,Racing,624581.63
2014,Racing,92262.48
2013,Racing,78737.5
2016,Racing,77251.23
2008,Racing,40182.04
2009,Racing,39958.02
2010,Racing,34018.04
2011,Racing,22329.73
2012,Racing,16593.19
2007,Racing,9722.600000000002
2006,Racing,7102.28
2005,Racing,3590.14
2017,Racing,1936.1000000000001
1995,Racing,516.77
2003,Racing,516.01
1998,Racing,252.17999999999998
1997,Racing,155.32
2004,Racing,57.96
2000,Racing,50.25
1996,Racing,20.04
1994,Racing,4.84
1999,Racing,0.54
2006,Simulation,7408941.029999999
2013,Simulation,1817278.77
2015,Simulation,1531193.19
2010,Simulation,694297.4999999999
2014,Simulation,621633.39
2016,Simulation,601864.72
2012,Simulation,483126.88
2017,Simulation,407210.31
2011,Simulation,272452.97000000003
2009,Simulation,271459.34
2008,Simulation,78153.89
2007,Simulation,23414.829999999998
2003,Simulation,22635.660000000003
2002,Simulation,5889.76
2001,Simulation,4131.89
2005,Simulation,2917.18
2004,Simulation,2265.4900000000002
1999,Simulation,2155.1099999999997
1998,Simulation,1785.76
2000,Simulation,1157.29
1994,Simulation,155.87
1989,Simulation,84.74000000000001
1997,Simulation,83.03
2018,Simulation,36.71
1990,Simulation,32.129999999999995
1996,Simulation,31.97
1995,Simulation,16.33
1987,Simulation,3.92
1991,Simulation,2.41
1993,Simulation,1.08
1992,Simulation,0.18
1988,Simulation,0.02
2014,Software Training,6878.4800000000005
2013,Software Training,1646.16
2015,Software Training,610.0999999999999
2017,Software Training,156.37
2008,Software Training,34.36
2016,Software Training,8.02
2015,Sports,688417.49
2013,Sports,103204.32
2014,Sports,90428.55
2016,Sports,78305.29
2012,Sports,58576.619999999995
2010,Sports,39610.79
2011,Sports,15411.429999999998
2009,Sports,4161.42
2008,Sports,1625.5
2005,Sports,1162.77
1995,Sports,516.77
2017,Sports,381.17
2006,Sports,186.46
2007,Sports,21.81
2013,Strategy,2421120.95
2010,Strategy,2347379.81
2012,Strategy,1426399.78
2015,Strategy,1370062.36
2014,Strategy,838778.61
2011,Strategy,575220.61
2009,Strategy,529617.67
2016,Strategy,527320.39
2006,Strategy,287107.13
2008,Strategy,135192.06
2003,Strategy,122218.01000000001
2017,Strategy,97733.36
2004,Strategy,61440.02
2007,Strategy,52627.97
2005,Strategy,16866.01
2001,Strategy,15688.61
1999,Strategy,9582.67
2002,Strategy,8091.18
1993,Strategy,3047.77
1997,Strategy,2226.19
1995,Strategy,920.5699999999999
2000,Strategy,517.66
1998,Strategy,435.19000000000005
1988,Strategy,232.76
1996,Strategy,141.12
1994,Strategy,19.5
1990,Strategy,1.0
2014,Utilities,45195.64
2013,Utilities,10858.14
2015,Utilities,9641.49
2006,Utilities,6382.3
2016,Utilities,5333.06
2007,Utilities,184.8
2012,Utilities,172.32999999999998
2017,Utilities,156.73000000000002
2008,Utilities,34.36
2015,Video Production,27711.469999999998
2014,Video Production,8073.9400000000005
2013,Video Production,3735.47
2007,Video Production,184.8
2012,Video Production,66.84
2016,Video Production,23.089999999999996
2006,Video Production,2.89
2012,Web Publishing,32172.579999999998
2015,Web Publishing,5811.2699999999995
2013,Web Publishing,5561.5
2005,Web Publishing,1564.19
2014,Web Publishing,560.8
2007,Web Publishing,184.8
2017,Web Publishing,156.37
2016,Web Publishing,2.27
